application_number,inventor_name_first,inventor_name_middle,inventor_name_last,inventor_rank,inventor_region_code,inventor_country_code,inventor_country_name,inventor_address_type
90010080,CORNER,INTERNATIONAL,LIMITED(OWNER),2,,BM,BERMUDA,residence
90010080,JOHN,T.,CALLAHAN(3RD.PTY.REQ.),3,DC,US,,residence
90010081,TEVA,PHARMACEUTICALS USA,INC.(OWNER),2,PA,US,,residence
90010081,,,6992191,1,,,,residence
90010081,CADILA,PHARMACEUTICALS,LTD.(3RD. PTY. REQ.),3,,IN,INDIA,residence
90010082,HAYNES,,"AND BOONE LLP, (3RD. PTY. REQ.)",3,TX,US,UNITED STATES,residence
90010082,,,6038195,1,,,,residence
90010082,RAMBUS,,INC.(OWNER),2,CA,US,,residence
90010083,OBERON,,COMPANY(3RD.PTY.REQ.),3,MA,US,,residence
90010083,,,6375865,1,,,,residence
90010083,PAULSON,MANUFACTURING,CORPORATION(OWNER),2,CA,US,UNITED STATES,residence
90010084,Mitchell,D.,Vaughn,1,,,,residence
90010085,David,J.,Cushing(3RD PTY REQ),3,DC,US,,residence
90010085,"HEAR-WEAR,",,L.L.C.(OWNER),2,OK,US,,residence
90010085,,,5606621,1,,,,residence
90010086,Patent,,Owner,3,,,,residence
90010086,CISCO,,"TECHNOLOGY, INC(OWNER)",2,CA,US,,residence
90010086,,,6621872,1,,,,residence
90010087,INTELLECTUAL,PROPERTY,LLC(OWNER),2,CO,US,,residence
90010087,,,6253504,1,,,,residence
90010087,JEFFREY,J,HOWELL(3RD. PTY. REQ.),3,IL,US,,residence
90010088,NOVOZYMES,,A/S(OWNER),2,,DK,DENMARK,residence
90010088,,,6365204,1,,,,residence
90010088,FROMMER,LAWRENCE &,HAUG(3RD.PTY.REQ.),3,NY,US,,residence
90010089,Ronald,,Giuliano,1,,,,residence
90010090,STITES,& HARBISON,PLLC(3RD.PTY.REQ.),3,VA,US,,residence
90010090,PROCTER,"& GAMBLE COMPANY,",THE(OWNER),2,OH,US,,residence
90010090,,,7169418,1,,,,residence
90010091,,,"6,978,547",1,,,,residence
90010091,DENNIS,P.,DEGREGORIO JR. (OWNER),2,IL,US,UNITED STATES,residence
90010091,MAYER,,BROWN LLP (3RD.PTY.REQ.),3,IL,US,UNITED STATES,residence
90010092,DAVID,H.,JUDSON (3RD.PTY.REQ.),3,TX,US,UNITED STATES,residence
90010092,TRIDIA,CORPORATION,(OWNER),2,GA,US,UNITED STATES,residence
90010092,,,"RE38,598",1,,,,residence
90010093,BENEFICIAL,,"INNOVATIONS, INC.(OWNER)",2,NV,US,,residence
90010093,ELECTRONIC,FRONTIER FOUNDATION,"C/O EMILY BERGER, ESQ(3RD.PTY.REQ)",3,CA,US,,residence
90010093,,,6264560,1,,,,residence
90010094,ECAST,,INC(3RD.PTY.REQ),3,CA,US,UNITED STATES,residence
90010094,ARACHNID,,INC(OWNER),2,IL,US,UNITED STATES,residence
90010094,,,6397189,1,,,,residence
90010095,ECAST,,INC.(3RD PTY REQ),3,CA,US,,residence
90010095,"ARACHNID,",,INC.(OWNER),2,IL,US,UNITED STATES,residence
90010095,,,6970834,1,,,,residence
90010096,Patent,,Owner,3,,,,residence
90010096,,,6884852,1,,,,residence
90010096,Wolfgang,,Klauch et.al(OWNER),2,,DE,GERMANY,residence
90010097,ARACHNID,,INC(OWNER),2,IL,US,UNITED STATES,residence
90010097,ECAST,,INC(3RD PTY REQ),3,CA,US,,residence
90010097,,,6381575,1,,,,residence
90010098,,,6743222,1,,,,residence
90010098,CANDELA,,CORPORATION(OWNER),2,MA,US,UNITED STATES,residence
90010098,WILMER,CUTLER PICKERING HALE &,LLP(3RD PTY REQ.),3,MA,US,UNITED STATES,residence
90010099,,,6570284,1,,,,residence
90010099,BLACK,& DECKER,INC.(OWNER),2,DE,US,,residence
90010099,DEAN,M.,MUNYON(3RD.PTY.REQ.),3,TX,US,,residence
90010101,ARMSTRONG,,"TEASDALE, LLP (3RD.PTY.REQ.)",3,MO,US,UNITED STATES,residence
90010101,,,"5,325,522",1,,,,residence
90010101,UNITED,STATES,DATA CORPORATION (OWNER),2,TX,US,UNITED STATES,residence
90010102,SUGHRUE,,"MION,PLLC (3RD.PTY.REQ.)",3,DC,US,UNITED STATES,residence
90010102,DENSO,,CORPORATION (OWNER),2,,JP,JAPAN,residence
90010102,,,"6,547,955",1,,,,residence
90010103,ABRAHAM,J.,ROSNER(3RD.PTY.REQ.),3,DC,US,,residence
90010103,DENSO,,CORPORATION(OWNER),2,,JP,JAPAN,residence
90010103,,,6849174,1,,,,residence
90010104,,,4901075,1,,,,residence
90010104,U.S.,PHILIPS,CORPORATION(OWNER),2,NY,US,,residence
90010104,TIMOTHY,W,LOHSE(3RD.PTY.REQ.),3,CA,US,,residence
90010105,Specialty,Surfaces,"International, Inc.(OWNER)",2,PA,US,,residence
90010105,Chris,P.,Perque(3RD PTY REQ),3,TX,US,,residence
90010105,,,5976645,1,,,,residence
90010106,APPLIED,MATERIALS,INC.(OWNER),2,CA,US,,residence
90010106,Kiyoshi,,Terada(3RD PTY REQ),3,,JP,JAPAN,residence
90010106,,,5921855,1,,,,residence
90010107,APPLIED,,"MATERIALS, INC",2,CA,US,,residence
90010107,,,6520847,1,,,,residence
90010107,DOWNS,RACHLIN MARTIN,PLLC(3RD PTY REQ.),3,VT,US,,residence
90010108,APPLIED,MATERIALS,INC.,2,CA,US,,residence
90010108,,,6699115,1,,,,residence
90010108,KIYOSHI,,TERADA(3RD PTY REQ.),3,,JP,JAPAN,residence
90010109,APPLIED,"MATERIALS,",INC.(OWNER),2,CA,US,,residence
90010109,KIYOSHI,,TERADA(3RD.PTY.REQ.),3,,JP,JAPAN,residence
90010109,,,684455,1,,,,residence
90010110,DARBY,& DARBY,P.C.(3RD.PTY.REQ.),3,NY,US,,residence
90010110,SAFE-STRAP,"COMPANY,",INC.(OWNER),2,NH,US,,residence
90010110,,,6101687,1,,,,residence
90010111,HUBBELL,,INCORPORATED (OWNER),2,CT,US,UNITED STATES,residence
90010111,MICHAEL,BLAINE,"BROOKS, P.C. (3RD.PTY.REQ.)",3,CA,US,UNITED STATES,residence
90010111,,,"7,301,099",1,,,,residence
90010112,CANDELA,,CORPORATION (OWNER),2,MA,US,UNITED STATES,residence
90010112,,,"6,743,222",1,,,,residence
